"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 14 15:30:42 CEST 2023","Thu Sep 14 15:30:49 CEST 2023","6632","chromium","login_tests.spec.js","","","","Connexion",""
"broken","Thu Sep 14 15:30:42 CEST 2023","Thu Sep 14 15:30:48 CEST 2023","6012","chromium","login_tests.spec.js","","","","Connexion KO",""
